,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,error,totalseasons
0,The Dawn of Netta,1912,N/A,24 Jun 1912,20 min,"Short, Drama",Tom Ricketts,N/A,Donald MacDonald,"The first Universal motion picture released: dying Will Barton has to go to the mountains in search of health and is distracted thinking about leaving his beloved daughter, Netta, behind.","None, English",USA,N/A,N/A,[],N/A,N/A,N/A,tt0350771,movie,N/A,N/A,N/A,N/A,True,,
1,The Honor of the Family,1912,N/A,07 Nov 1912,N/A,"Short, Drama",N/A,N/A,Lon Chaney,Gerald leaves England to seek his fortune in America and falls in love with Marja.Claude his older brother marks her for his own and they marry before he goes back to England.So when Gerald proposes she is already married.Since Claud,"None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,19,tt0372329,movie,N/A,N/A,N/A,N/A,True,,
2,Gold Is Not All,1910,N/A,28 Mar 1910,16 min,"Short, Drama",D.W. Griffith,Stanner E.V. Taylor,"Marion Leonard, Dell Henderson, Gladys Egan","The young heiress is walking with her sweetheart in the grounds of her mansion, seemingly happy, while on the roadway, with but a wall dividing, stroll the poor young couple. What a contrast. Here are four young souls starting on ...","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,43,tt0001234,movie,N/A,N/A,N/A,N/A,True,,
3,The Battle of Bull Run,1913,N/A,18 Mar 1913,N/A,"Short, Drama, History",Francis Ford,N/A,"William Clifford, Victoria Forde, Grace Cunard, Ray Myers",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0213431,movie,N/A,N/A,N/A,N/A,True,,
4,"Sally Scraggs, Housemaid",1913,N/A,14 Aug 1913,N/A,"Short, Comedy, Romance",Robert Z. Leonard,N/A,"Robert Z. Leonard, Margarita Fischer, Laura Oakley","Doris Lowrey, a famous novelist, in order to get material for her new novel - ""Sally Scraggs, Housemaid,"" leaves her home of luxury and, impersonating a housemaid, seeks and secures a position as such in a typical boarding house. ...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTk0MDM5MzgxMF5BMl5BanBnXkFtZTgwNDYwMTk3MjE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0334285,movie,N/A,N/A,N/A,N/A,True,,
5,The Gratitude of Wanda,1913,N/A,30 Aug 1913,17 min,"Short, Drama",Wallace Reid,Bess Meredyth,"Wallace Reid, Pauline Bush, Arthur Rosson",N/A,"None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0002911,movie,N/A,N/A,N/A,N/A,True,,
6,Ivanhoe,1952,Approved,20 Feb 1953,106 min,"Adventure, Drama, Romance",Richard Thorpe,"Noel Langley, Æneas MacKenzie, Marguerite Roberts","Robert Taylor, Elizabeth Taylor, Joan Fontaine",A knight seeks to free the captive King Richard and put him back on the throne.,English,"United Kingdom, United States",Nominated for 3 Oscars. 7 nominations total,https://m.media-amazon.com/images/M/MV5BYTFmZDZjMDEtNTFjNi00YWE1LTlhNWUtNDc2NzFmNmQ2YTNjXkEyXkFqcGdeQXVyNTEwNDcxNDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.7,"9,878",tt0044760,movie,19 May 2009,N/A,N/A,N/A,True,,
7,The Tramp Dentists,1913,N/A,29 Oct 1913,N/A,"Comedy, Short",Allen Curtis,N/A,"Max Asher, Lee Morris, Eddie Boland, Joseph Singleton",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0326302,movie,N/A,N/A,N/A,N/A,True,,
8,Traffic in Souls,1913,TV-PG,24 Nov 1913,88 min,"Crime, Drama",George Loane Tucker,"Walter MacNamara, George Loane Tucker","Jane Gail, Ethel Grandin, William H. Turner","With aid from her police-officer sweetheart, a woman endeavors to uncover the prostitution ring that has kidnapped her sister and the philanthropist who secretly runs it.","None, English",United States,1 win,https://m.media-amazon.com/images/M/MV5BYzk0YWQzMGYtYTM5MC00NjM2LWE5YzYtMjgyNDVhZDg1N2YzXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,6.0,707,tt0003471,movie,27 May 2014,N/A,N/A,N/A,True,,
9,The Werewolf,1956,Approved,01 Jul 1956,79 min,"Horror, Sci-Fi",Fred F. Sears,"Robert E. Kent, James B. Gordon","Don Megowan, Joyce Holden, Eleanore Tanin","In Mountaincrest, a stranger without memory arrives in a bar to have a drink. When he leaves the bar, a local tries to rob him but he turns into an animal and kills the attacker. Deputy Ben Clovey hunts down the animal but is woun...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGIyOGI0ZjMtNDY0Mi00NmNhLThhNzctZDQ0N2JjNTczNDRhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"1,704",tt0049944,movie,16 Oct 2007,N/A,N/A,N/A,True,,
